class,L24,L25,L26,L27,L31,untagged,total
Clear,1550,22,348,276,137,0,2333
Extraneous Polymer,64,31,134,20,18,0,267
Fiber,83,15,25,86,119,0,328
Foreign Matter,291,84,162,550,195,0,1282
HEMA,9,1,0,0,10,0,20
TOTAL,1997,153,669,932,479,0,4230
